postcode,suburb,var1,var2,var3
200,australian national university,,,
221,barton,,,
2540,hmas creswell,,,
2540,jervis bay,,,
2600,barton,,,
2600,canberra,,,
2600,deakin,,,
2600,deakin west,,,
2600,duntroon,,,
2600,harman,,,
2600,hmas harman,,,
2600,parkes,,,
2600,parliament house,,,
2600,russell,,,
2600,yarralumla,,,
2601,acton,,,
2601,black mountain,,,
2601,canberra,,,
2602,ainslie,,,
2602,dickson,,,
2602,downer,,,
2602,hackett,,,
2602,lyneham,,,
2602,o'connor,,,
2602,watson,,,
2603,forrest,,,
2603,griffith,,,
2603,manuka,,,
2603,red hill,,,
2604,causeway,,,
2604,kingston,,,
2604,narrabundah,,,
2605,curtin,,,
2605,garran,,,
2605,hughes,,,
2606,chifley,,,
2606,lyons,,,
2606,o'malley,,,
2606,phillip,,,
2606,swinger hill,,,
2606,woden,,,
2607,farrer,,,
2607,isaacs,,,
2607,mawson,,,
2607,pearce,,,
2607,torrens,,,
2608,civic square,,,
2609,canberra international airport,,,
2609,fyshwick,,,
2609,majura,,,
2609,pialligo,,,
2609,symonston,,,
2611,chapman,,,
2611,duffy,,,
2611,fisher,,,
2611,holder,,,
2611,mount stromlo,,,
2611,pierces creek,,,
2611,rivett,,,
2611,stirling,,,
2611,uriarra,,,
2611,uriarra forest,,,
2611,waramanga,,,
2611,weston,,,
2611,weston creek,,,
2612,braddon,,,
2612,campbell,,,
2612,reid,,,
2612,turner,,,
2614,aranda,,,
2614,cook,,,
2614,hawker,,,
2614,jamison centre,,,
2614,macquarie,,,
2614,page,,,
2614,scullin,,,
2614,weetangera,,,
2615,charnwood,,,
2615,dunlop,,,
2615,florey,,,
2615,flynn,,,
2615,fraser,,,
2615,higgins,,,
2615,holt,,,
2615,kippax,,,
2615,latham,,,
2615,macgregor,,,
2615,melba,,,
2615,spence,,,
2616,belconnen,,,
2617,belconnen,,,
2617,bruce,,,
2617,evatt,,,
2617,giralang,,,
2617,kaleen,,,
2617,lawson,,,
2617,mckellar,,,
2617,university of canberra,,,
2618,hall,,,
2620,hume,,,
2620,kowen forest,,,
2620,oaks estate,,,
2620,tharwa,,,
2620,top naas,,,
2900,greenway,,,
2900,tuggeranong,,,
2902,kambah,,,
2903,erindale centre,,,
2903,oxley,,,
2903,wanniassa,,,
2904,fadden,,,
2904,gowrie,,,
2904,macarthur,,,
2904,monash,,,
2905,bonython,,,
2905,calwell,,,
2905,chisholm,,,
2905,gilmore,,,
2905,isabella plains,,,
2905,richardson,,,
2905,theodore,,,
2906,banks,,,
2906,conder,,,
2906,gordon,,,
2911,crace,,,
2911,mitchell,,,
2912,gungahlin,,,
2913,franklin,,,
2913,ginninderra village,,,
2913,ngunnawal,,,
2913,nicholls,,,
2913,palmerston,,,
2914,amaroo,,,
2914,bonner,,,
2914,forde,,,
2914,harrison,,,